MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PO_1._R,PO_2._R,Conf._Fin,Finals,Champion,Age,MOV,SOS,FTr,3PAr,TS%,W_pct,PW_pct
240.9,0.498,0.252,0.505,0.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,1.0,0.0,0.0,0.0,0.0,26.9,-0.38,0.13,0.327,0.027,0.553,0.5,0.4878048780487805
242.4,0.529,0.2,0.534,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1,1.0,1.0,1.0,1.0,1.0,26.2,5.9,-0.51,0.284,0.014,0.569,0.7317073170731707,0.6707317073170732
243.0,0.474,0.193,0.481,0.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1,0.0,0.0,0.0,0.0,0.0,27.4,0.34,0.09,0.274,0.023,0.519,0.4512195121951219,0.5121951219512195
241.2,0.496,0.22,0.503,0.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0,0.0,0.0,0.0,0.0,0.0,24.1,-1.15,0.19,0.296,0.025,0.539,0.4756097560975609,0.4634146341463415
242.4,0.49,0.384,0.496,0.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5,1.0,1.0,1.0,0.0,0.0,27.3,7.79,-0.42,0.332,0.057,0.55,0.7439024390243902,0.7317073170731707
242.1,0.473,0.28,0.481,0.751,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2,0.0,0.0,0.0,0.0,0.0,25.3,-0.7,0.16,0.303,0.041,0.523,0.4512195121951219,0.4756097560975609
240.9,0.493,0.243,0.504,0.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1,1.0,1.0,0.0,0.0,0.0,26.5,3.6,-0.35,0.341,0.039,0.548,0.6707317073170732,0.6097560975609756
243.0,0.48,0.274,0.491,0.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,1.0,1.0,0.0,0.0,0.0,27.3,0.17,0.1,0.31,0.051,0.533,0.5,0.5
241.5,0.488,0.323,0.491,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,1.0,1.0,0.0,0.0,0.0,25.3,3.94,-0.37,0.278,0.021,0.532,0.5975609756097561,0.6219512195121951
242.1,0.492,0.216,0.497,0.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1,1.0,1.0,1.0,1.0,0.0,27.0,4.22,-0.18,0.34,0.017,0.544,0.7195121951219512,0.6341463414634146
241.2,0.48,0.26,0.486,0.74,15.0,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9,0.0,0.0,0.0,0.0,0.0,24.7,-8.24,0.67,0.283,0.029,0.523,0.1951219512195122,0.2682926829268293
241.8,0.47,0.312,0.474,0.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5,1.0,1.0,1.0,0.0,0.0,27.0,4.66,-0.42,0.298,0.025,0.52,0.6829268292682927,0.6463414634146342
241.5,0.461,0.285,0.468,0.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3,0.0,0.0,0.0,0.0,0.0,26.1,-1.17,0.19,0.321,0.04,0.518,0.4146341463414634,0.4634146341463415
241.8,0.463,0.325,0.468,0.737,16.0,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3,0.0,0.0,0.0,0.0,0.0,27.1,-4.41,0.2,0.34,0.034,0.517,0.3658536585365853,0.3658536585365853
241.5,0.478,0.219,0.482,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0,1.0,0.0,0.0,0.0,0.0,25.5,3.13,-0.32,0.3,0.015,0.522,0.573170731707317,0.5975609756097561
240.9,0.47,0.326,0.482,0.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6,0.0,0.0,0.0,0.0,0.0,27.6,-4.15,0.18,0.289,0.072,0.522,0.4268292682926829,0.3658536585365853
242.7,0.484,0.255,0.494,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,0.0,0.0,0.0,0.0,0.0,25.9,-2.71,0.08,0.373,0.04,0.545,0.3658536585365853,0.4146341463414634
242.4,0.458,0.307,0.463,0.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0,1.0,0.0,0.0,0.0,0.0,29.0,-2.55,0.28,0.263,0.031,0.504,0.4756097560975609,0.4146341463414634
241.2,0.464,0.173,0.467,0.771,16.7,29.3,46.0,23.3,9.5,6.6,18.2,28.0,104.5,1.0,1.0,0.0,0.0,0.0,26.1,2.91,-0.09,0.376,0.011,0.523,0.6097560975609756,0.5975609756097561
242.4,0.482,0.223,0.486,0.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,0.0,0.0,0.0,0.0,0.0,26.3,-4.39,0.2,0.262,0.017,0.52,0.2926829268292683,0.3536585365853658
241.2,0.476,0.197,0.481,0.743,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5,1.0,0.0,0.0,0.0,0.0,26.3,-0.82,-0.05,0.293,0.018,0.519,0.4634146341463415,0.4756097560975609
241.5,0.496,0.319,0.501,0.809,11.8,28.8,40.6,24.5,8.0,4.4,18.8,24.5,102.4,0.0,0.0,0.0,0.0,0.0,26.1,-6.01,0.31,0.285,0.027,0.547,0.2926829268292683,0.3048780487804878
243.4,0.475,0.207,0.48,0.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8,0.0,0.0,0.0,0.0,0.0,26.8,-0.48,-0.47,0.383,0.018,0.537,0.4512195121951219,0.4878048780487805
240.9,0.498,0.229,0.503,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,1.0,1.0,0.0,0.0,0.0,26.6,7.27,-0.13,0.313,0.018,0.546,0.7317073170731707,0.7195121951219512
241.5,0.491,0.176,0.495,0.769,15.9,31.5,47.4,25.0,8.4,7.8,18.7,25.8,112.3,1.0,1.0,0.0,0.0,0.0,26.7,2.88,-0.7,0.367,0.012,0.545,0.6341463414634146,0.5853658536585366
242.1,0.514,0.226,0.518,0.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7,1.0,1.0,1.0,0.0,0.0,27.2,7.85,-0.09,0.343,0.012,0.562,0.7560975609756098,0.7317073170731707
241.5,0.512,0.181,0.516,0.729,14.2,30.4,44.6,28.8,9.9,6.7,19.0,23.8,111.2,1.0,0.0,0.0,0.0,0.0,27.0,3.84,-0.57,0.286,0.013,0.548,0.6585365853658537,0.6219512195121951
242.1,0.496,0.169,0.503,0.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7,1.0,0.0,0.0,0.0,0.0,25.7,0.89,-0.37,0.291,0.02,0.534,0.5487804878048781,0.524390243902439
240.9,0.49,0.217,0.496,0.745,15.0,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110.0,1.0,1.0,0.0,0.0,0.0,25.7,5.51,-0.68,0.332,0.022,0.537,0.6951219512195121,0.6707317073170732
241.2,0.504,0.27,0.513,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,1.0,1.0,1.0,1.0,1.0,27.0,5.88,0.17,0.334,0.034,0.553,0.7560975609756098,0.6829268292682927
240.6,0.489,0.286,0.495,0.727,17.1,28.9,46.0,24.7,7.5,3.7,18.9,26.3,109.8,0.0,0.0,0.0,0.0,0.0,24.4,-1.18,-0.23,0.345,0.029,0.537,0.4756097560975609,0.4634146341463415
241.2,0.501,0.212,0.508,0.774,15.0,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109.0,1.0,1.0,0.0,0.0,0.0,26.5,1.98,0.37,0.371,0.026,0.556,0.5487804878048781,0.5609756097560976
241.5,0.487,0.178,0.492,0.77,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3,1.0,1.0,1.0,1.0,0.0,26.8,0.33,-0.53,0.303,0.016,0.534,0.4878048780487805,0.5121951219512195
241.8,0.483,0.237,0.491,0.747,13.9,26.9,40.8,24.1,10.5,3.8,17.8,23.4,107.9,1.0,0.0,0.0,0.0,0.0,25.1,1.62,0.38,0.329,0.033,0.533,0.6097560975609756,0.5487804878048781
240.6,0.482,0.178,0.489,0.715,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6,1.0,0.0,0.0,0.0,0.0,26.0,1.4,0.32,0.351,0.023,0.528,0.5365853658536586,0.5487804878048781
241.8,0.5,0.292,0.505,0.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9,1.0,1.0,1.0,0.0,0.0,26.2,0.01,-0.51,0.308,0.023,0.54,0.4878048780487805,0.5
241.5,0.475,0.246,0.48,0.751,13.3,29.0,42.3,25.2,9.1,5.6,20.3,26.9,106.9,0.0,0.0,0.0,0.0,0.0,25.2,-6.02,0.87,0.324,0.019,0.525,0.2926829268292683,0.3170731707317073
240.6,0.477,0.324,0.486,0.735,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5,0.0,0.0,0.0,0.0,0.0,27.6,-1.59,-0.2,0.308,0.056,0.528,0.4390243902439024,0.4512195121951219
241.2,0.467,0.289,0.473,0.778,15.3,27.4,42.7,24.5,7.7,3.9,17.0,24.3,105.7,0.0,0.0,0.0,0.0,0.0,25.7,-4.85,0.7,0.251,0.033,0.513,0.3414634146341463,0.3536585365853658
241.2,0.472,0.27,0.479,0.723,14.1,30.9,45.0,26.2,7.8,4.8,17.3,23.1,105.6,0.0,0.0,0.0,0.0,0.0,28.6,0.01,0.41,0.276,0.032,0.514,0.4756097560975609,0.5
243.0,0.479,0.122,0.484,0.777,14.6,27.1,41.8,22.5,9.1,5.7,19.6,27.8,104.9,0.0,0.0,0.0,0.0,0.0,26.8,-3.1,0.73,0.377,0.012,0.537,0.3780487804878049,0.4024390243902439
241.2,0.468,0.274,0.471,0.763,14.2,29.7,43.9,23.7,7.7,5.3,18.6,24.2,104.0,0.0,0.0,0.0,0.0,0.0,26.8,-1.65,-0.2,0.333,0.016,0.521,0.4146341463414634,0.4512195121951219
241.2,0.462,0.279,0.467,0.751,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5,0.0,0.0,0.0,0.0,0.0,24.8,-8.4,0.07,0.359,0.024,0.519,0.1829268292682926,0.2439024390243902
240.6,0.488,0.258,0.494,0.767,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2,0.0,0.0,0.0,0.0,0.0,25.3,-5.89,-0.1,0.305,0.024,0.536,0.3414634146341463,0.3170731707317073
240.9,0.463,0.155,0.467,0.725,14.6,25.7,40.4,22.2,10.8,6.0,21.5,25.9,99.7,0.0,0.0,0.0,0.0,0.0,24.3,-6.32,0.74,0.334,0.012,0.51,0.2560975609756097,0.2926829268292683
241.8,0.52,0.268,0.525,0.796,14.0,29.8,43.8,27.7,8.1,4.5,17.9,26.0,126.5,1.0,0.0,0.0,0.0,0.0,27.0,0.52,-0.4,0.389,0.019,0.578,0.5609756097560976,0.5121951219512195
242.1,0.517,0.138,0.521,0.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6,1.0,1.0,1.0,1.0,1.0,26.8,4.87,-0.5,0.285,0.012,0.551,0.6951219512195121,0.6463414634146342
240.9,0.486,0.254,0.494,0.776,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27.0,113.1,1.0,1.0,1.0,0.0,0.0,26.1,2.3,-0.52,0.307,0.033,0.537,0.5853658536585366,0.573170731707317
241.2,0.499,0.266,0.505,0.74,15.3,30.4,45.6,25.9,8.0,6.9,17.7,24.6,112.0,1.0,1.0,1.0,0.0,0.0,27.3,6.38,-0.03,0.335,0.025,0.545,0.7682926829268293,0.6951219512195121
242.1,0.518,0.295,0.523,0.747,12.6,29.1,41.7,27.6,10.4,7.6,18.0,26.6,111.2,1.0,1.0,1.0,1.0,0.0,28.1,5.73,0.0,0.354,0.02,0.566,0.7073170731707317,0.6829268292682927
241.8,0.482,0.244,0.489,0.751,15.8,28.6,44.4,24.7,9.0,6.9,19.9,26.3,111.1,0.0,0.0,0.0,0.0,0.0,24.4,-0.91,0.28,0.349,0.029,0.534,0.4756097560975609,0.4756097560975609
241.2,0.496,0.28,0.506,0.717,15.6,29.9,45.5,22.2,8.4,4.8,17.4,27.1,110.9,0.0,0.0,0.0,0.0,0.0,25.1,1.04,-0.24,0.324,0.044,0.541,0.5487804878048781,0.5365853658536586
241.2,0.494,0.227,0.498,0.751,14.0,28.8,42.8,23.1,8.5,4.4,17.5,26.8,110.9,0.0,0.0,0.0,0.0,0.0,24.9,-5.66,0.03,0.306,0.013,0.538,0.3048780487804878,0.3292682926829268
241.2,0.505,0.207,0.511,0.72,13.9,28.7,42.6,25.0,8.6,4.5,17.0,24.5,109.8,0.0,0.0,0.0,0.0,0.0,24.7,0.6,-0.21,0.332,0.019,0.547,0.5121951219512195,0.524390243902439
240.9,0.5,0.293,0.511,0.723,13.8,26.8,40.6,22.9,7.8,3.6,19.1,28.7,108.5,0.0,0.0,0.0,0.0,0.0,25.4,-7.39,0.34,0.33,0.048,0.547,0.2073170731707317,0.2804878048780488
241.5,0.505,0.299,0.51,0.753,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4,1.0,1.0,0.0,0.0,0.0,27.3,5.48,-0.1,0.332,0.023,0.553,0.6707317073170732,0.6707317073170732
241.8,0.488,0.248,0.494,0.74,13.5,31.0,44.5,25.6,8.4,5.6,16.5,25.1,107.3,1.0,1.0,0.0,0.0,0.0,26.4,4.13,-0.45,0.329,0.021,0.535,0.6341463414634146,0.6341463414634146
242.4,0.495,0.2,0.5,0.719,13.2,27.8,41.0,25.1,9.1,4.9,18.4,28.8,107.1,0.0,0.0,0.0,0.0,0.0,24.0,-3.1,-0.15,0.296,0.018,0.533,0.3658536585365853,0.4024390243902439
241.2,0.484,0.205,0.49,0.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28.0,106.7,1.0,0.0,0.0,0.0,0.0,25.1,0.68,0.18,0.326,0.02,0.529,0.5365853658536586,0.524390243902439
242.4,0.501,0.254,0.509,0.767,13.7,30.8,44.5,24.9,7.1,5.9,20.0,24.5,106.6,0.0,0.0,0.0,0.0,0.0,26.5,-2.02,0.45,0.378,0.032,0.557,0.4146341463414634,0.4390243902439024
241.8,0.491,0.271,0.498,0.738,14.2,27.7,42.0,25.3,8.8,4.1,18.1,26.8,106.2,0.0,0.0,0.0,0.0,0.0,28.0,-2.67,0.52,0.302,0.03,0.535,0.4024390243902439,0.4146341463414634
241.8,0.491,0.31,0.496,0.758,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2,1.0,1.0,0.0,0.0,0.0,26.4,3.45,-0.4,0.302,0.024,0.538,0.5609756097560976,0.6097560975609756
241.2,0.476,0.284,0.48,0.729,17.1,27.9,45.0,24.1,7.9,5.2,16.1,22.8,105.9,1.0,0.0,0.0,0.0,0.0,28.3,-0.04,-0.36,0.302,0.024,0.52,0.5609756097560976,0.5
240.6,0.469,0.289,0.474,0.735,14.8,27.2,42.0,25.8,6.9,3.8,16.1,26.7,104.6,0.0,0.0,0.0,0.0,0.0,24.4,-4.43,-0.06,0.328,0.026,0.519,0.3414634146341463,0.3536585365853658
241.8,0.474,0.25,0.482,0.772,12.8,31.5,44.3,24.2,7.8,4.8,17.0,25.3,103.5,1.0,1.0,0.0,0.0,0.0,26.0,0.88,0.19,0.294,0.033,0.524,0.524390243902439,0.524390243902439
241.5,0.464,0.182,0.47,0.747,14.5,26.5,41.0,22.8,7.7,4.4,16.1,26.7,103.2,0.0,0.0,0.0,0.0,0.0,26.1,-8.51,0.74,0.297,0.019,0.51,0.1829268292682926,0.2439024390243902
241.8,0.465,0.326,0.472,0.741,13.9,28.9,42.8,23.1,9.2,6.0,17.0,24.9,102.2,0.0,0.0,0.0,0.0,0.0,27.0,-1.87,0.38,0.304,0.044,0.516,0.4268292682926829,0.4390243902439024
242.4,0.474,0.219,0.479,0.768,13.8,28.9,42.7,22.1,7.4,5.9,16.4,27.7,101.0,1.0,0.0,0.0,0.0,0.0,26.5,0.54,0.27,0.352,0.019,0.529,0.5121951219512195,0.524390243902439
240.6,0.494,0.19,0.499,0.808,14.8,30.8,45.6,28.5,9.6,4.3,18.2,25.5,123.2,1.0,1.0,0.0,0.0,0.0,27.2,0.62,-0.36,0.337,0.016,0.55,0.5487804878048781,0.5121951219512195
240.6,0.528,0.104,0.533,0.736,15.1,29.7,44.7,30.7,10.3,5.8,19.3,23.5,115.0,1.0,1.0,1.0,1.0,0.0,26.9,5.55,-0.49,0.27,0.013,0.561,0.7073170731707317,0.6707317073170732
241.2,0.504,0.305,0.512,0.765,15.0,31.7,46.7,27.6,8.2,5.7,18.3,25.5,114.3,1.0,1.0,1.0,0.0,0.0,27.2,3.66,-0.56,0.336,0.042,0.556,0.6463414634146342,0.6097560975609756
241.2,0.497,0.237,0.505,0.727,15.3,29.4,44.7,26.3,9.3,5.0,20.6,29.7,113.8,0.0,0.0,0.0,0.0,0.0,24.5,1.45,-0.41,0.338,0.029,0.542,0.5487804878048781,0.5487804878048781
240.6,0.487,0.232,0.493,0.752,15.8,29.0,44.8,27.2,6.7,4.2,16.4,25.2,112.7,0.0,0.0,0.0,0.0,0.0,24.2,-0.41,-0.29,0.326,0.025,0.535,0.4634146341463415,0.4878048780487805
242.4,0.477,0.265,0.484,0.742,16.0,30.2,46.2,25.7,8.3,7.0,19.0,25.9,112.7,0.0,0.0,0.0,0.0,0.0,24.6,-0.4,0.24,0.34,0.036,0.529,0.4512195121951219,0.4878048780487805
241.8,0.492,0.21,0.499,0.737,15.5,30.9,46.4,27.0,9.6,6.4,18.8,25.1,112.1,1.0,1.0,0.0,0.0,0.0,27.3,5.35,-0.01,0.311,0.025,0.536,0.6829268292682927,0.6707317073170732
241.8,0.499,0.229,0.503,0.742,16.3,31.7,47.9,24.6,9.9,7.0,19.8,24.9,112.1,1.0,1.0,1.0,1.0,1.0,26.7,7.67,-0.14,0.367,0.015,0.549,0.7926829268292683,0.7317073170731707
242.7,0.48,0.215,0.487,0.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111.0,0.0,0.0,0.0,0.0,0.0,24.5,-4.89,0.48,0.365,0.028,0.532,0.3414634146341463,0.3536585365853658
241.5,0.494,0.21,0.5,0.73,14.0,31.3,45.4,27.8,8.3,5.3,18.7,24.0,110.0,1.0,0.0,0.0,0.0,0.0,27.4,3.21,-0.33,0.338,0.019,0.539,0.5853658536585366,0.5975609756097561
240.9,0.48,0.24,0.486,0.756,13.3,31.1,44.4,26.5,9.2,7.3,20.5,24.6,109.0,0.0,0.0,0.0,0.0,0.0,25.8,-4.2,-0.03,0.332,0.025,0.531,0.3658536585365853,0.3658536585365853
241.8,0.48,0.212,0.488,0.758,15.8,28.0,43.8,26.2,9.2,5.0,18.7,25.4,108.7,0.0,0.0,0.0,0.0,0.0,24.9,-5.85,0.49,0.247,0.031,0.52,0.2439024390243902,0.3292682926829268
241.2,0.483,0.227,0.488,0.737,15.6,27.9,43.5,24.0,10.4,5.2,19.6,26.1,108.6,0.0,0.0,0.0,0.0,0.0,24.7,-3.62,0.14,0.293,0.02,0.526,0.3658536585365853,0.3902439024390244
241.8,0.475,0.244,0.483,0.724,17.0,25.7,42.7,25.5,10.0,5.0,19.5,27.9,108.6,0.0,0.0,0.0,0.0,0.0,24.8,-4.83,0.22,0.288,0.034,0.518,0.3048780487804878,0.3536585365853658
240.9,0.486,0.233,0.491,0.738,14.4,29.0,43.4,24.8,9.1,4.7,18.2,23.9,107.4,1.0,1.0,0.0,0.0,0.0,25.5,2.13,-0.25,0.353,0.021,0.535,0.5609756097560976,0.573170731707317
240.6,0.497,0.253,0.502,0.743,13.3,30.7,44.0,28.0,9.1,6.0,18.8,25.1,107.0,1.0,0.0,0.0,0.0,0.0,26.6,5.06,-0.45,0.306,0.022,0.54,0.6463414634146342,0.6585365853658537
